L P L2 L3 minL maxL minP maxP minL2 maxL2 minL3 maxL3 u
0.12812500000000002 0.04375 0.03125 0.03125 0.1 0.15625 0.0 0.0875 0.0 0.0625 0.0 0.0625 0.09
0.12812500000000002 0.04375 0.03125 0.09375 0.1 0.15625 0.0 0.0875 0.0 0.0625 0.0625 0.125 0.09
0.12812500000000002 0.04375 0.09375 0.03125 0.1 0.15625 0.0 0.0875 0.0625 0.125 0.0 0.0625 0.09
0.12812500000000002 0.04375 0.09375 0.09375 0.1 0.15625 0.0 0.0875 0.0625 0.125 0.0625 0.125 0.09
0.12812500000000002 0.13124999999999998 0.03125 0.03125 0.1 0.15625 0.0875 0.175 0.0 0.0625 0.0 0.0625 0.09
0.12812500000000002 0.13124999999999998 0.03125 0.09375 0.1 0.15625 0.0875 0.175 0.0 0.0625 0.0625 0.125 0.09
0.12812500000000002 0.13124999999999998 0.09375 0.03125 0.1 0.15625 0.0875 0.175 0.0625 0.125 0.0 0.0625 0.09
0.12812500000000002 0.13124999999999998 0.09375 0.09375 0.1 0.15625 0.0875 0.175 0.0625 0.125 0.0625 0.125 0.09
0.184375 0.04375 0.03125 0.03125 0.15625 0.21250000000000002 0.0 0.0875 0.0 0.0625 0.0 0.0625 0.09
0.184375 0.04375 0.03125 0.09375 0.15625 0.21250000000000002 0.0 0.0875 0.0 0.0625 0.0625 0.125 0.09
0.184375 0.04375 0.09375 0.03125 0.15625 0.21250000000000002 0.0 0.0875 0.0625 0.125 0.0 0.0625 0.09
0.184375 0.04375 0.09375 0.09375 0.15625 0.21250000000000002 0.0 0.0875 0.0625 0.125 0.0625 0.125 0.09
0.184375 0.13124999999999998 0.03125 0.03125 0.15625 0.21250000000000002 0.0875 0.175 0.0 0.0625 0.0 0.0625 0.09
0.184375 0.13124999999999998 0.03125 0.09375 0.15625 0.21250000000000002 0.0875 0.175 0.0 0.0625 0.0625 0.125 0.09
0.184375 0.13124999999999998 0.09375 0.03125 0.15625 0.21250000000000002 0.0875 0.175 0.0625 0.125 0.0 0.0625 0.09
0.184375 0.13124999999999998 0.09375 0.09375 0.15625 0.21250000000000002 0.0875 0.175 0.0625 0.125 0.0625 0.125 0.09
0.12812500000000002 0.04375 0.03125 0.15625 0.1 0.15625 0.0 0.0875 0.0 0.0625 0.125 0.1875 0.09
0.12812500000000002 0.04375 0.03125 0.21875 0.1 0.15625 0.0 0.0875 0.0 0.0625 0.1875 0.25 0.09
0.12812500000000002 0.04375 0.09375 0.15625 0.1 0.15625 0.0 0.0875 0.0625 0.125 0.125 0.1875 0.09
0.12812500000000002 0.04375 0.09375 0.21875 0.1 0.15625 0.0 0.0875 0.0625 0.125 0.1875 0.25 0.09
0.12812500000000002 0.13124999999999998 0.03125 0.15625 0.1 0.15625 0.0875 0.175 0.0 0.0625 0.125 0.1875 0.09
0.12812500000000002 0.13124999999999998 0.03125 0.21875 0.1 0.15625 0.0875 0.175 0.0 0.0625 0.1875 0.25 0.09
0.12812500000000002 0.13124999999999998 0.09375 0.15625 0.1 0.15625 0.0875 0.175 0.0625 0.125 0.125 0.1875 0.09
0.12812500000000002 0.13124999999999998 0.09375 0.21875 0.1 0.15625 0.0875 0.175 0.0625 0.125 0.1875 0.25 0.09
0.184375 0.04375 0.03125 0.15625 0.15625 0.21250000000000002 0.0 0.0875 0.0 0.0625 0.125 0.1875 0.09
0.184375 0.04375 0.03125 0.21875 0.15625 0.21250000000000002 0.0 0.0875 0.0 0.0625 0.1875 0.25 0.09
0.184375 0.04375 0.09375 0.15625 0.15625 0.21250000000000002 0.0 0.0875 0.0625 0.125 0.125 0.1875 0.09
0.184375 0.04375 0.09375 0.21875 0.15625 0.21250000000000002 0.0 0.0875 0.0625 0.125 0.1875 0.25 0.09
0.184375 0.13124999999999998 0.03125 0.15625 0.15625 0.21250000000000002 0.0875 0.175 0.0 0.0625 0.125 0.1875 0.09
0.184375 0.13124999999999998 0.03125 0.21875 0.15625 0.21250000000000002 0.0875 0.175 0.0 0.0625 0.1875 0.25 0.09
0.184375 0.13124999999999998 0.09375 0.15625 0.15625 0.21250000000000002 0.0875 0.175 0.0625 0.125 0.125 0.25 0.09
0.12812500000000002 0.04375 0.15625 0.03125 0.1 0.15625 0.0 0.0875 0.125 0.1875 0.0 0.0625 0.09
0.12812500000000002 0.04375 0.15625 0.09375 0.1 0.15625 0.0 0.0875 0.125 0.1875 0.0625 0.125 0.09
0.12812500000000002 0.04375 0.21875 0.03125 0.1 0.15625 0.0 0.0875 0.1875 0.25 0.0 0.0625 0.09
0.12812500000000002 0.04375 0.21875 0.09375 0.1 0.15625 0.0 0.0875 0.1875 0.25 0.0625 0.125 0.09
0.12812500000000002 0.13124999999999998 0.15625 0.03125 0.1 0.15625 0.0875 0.175 0.125 0.1875 0.0 0.0625 0.09
0.12812500000000002 0.13124999999999998 0.15625 0.09375 0.1 0.15625 0.0875 0.175 0.125 0.1875 0.0625 0.125 0.09
0.12812500000000002 0.13124999999999998 0.21875 0.03125 0.1 0.15625 0.0875 0.175 0.1875 0.25 0.0 0.0625 0.09
0.12812500000000002 0.13124999999999998 0.21875 0.09375 0.1 0.15625 0.0875 0.175 0.1875 0.25 0.0625 0.125 0.09
0.184375 0.04375 0.15625 0.03125 0.15625 0.21250000000000002 0.0 0.0875 0.125 0.1875 0.0 0.0625 0.09
0.184375 0.04375 0.15625 0.09375 0.15625 0.21250000000000002 0.0 0.0875 0.125 0.1875 0.0625 0.125 0.09
0.184375 0.04375 0.21875 0.03125 0.15625 0.21250000000000002 0.0 0.0875 0.1875 0.25 0.0 0.0625 0.09
0.184375 0.04375 0.21875 0.09375 0.15625 0.21250000000000002 0.0 0.0875 0.1875 0.25 0.0625 0.125 0.09
0.184375 0.13124999999999998 0.15625 0.03125 0.15625 0.21250000000000002 0.0875 0.175 0.125 0.1875 0.0 0.0625 0.09
