x y
0.8 1.0
0.800037 1.008032
0.800147 1.016128
0.800332 1.024288
0.800592 1.032511
0.800927 1.040796
0.801339 1.049142
0.801828 1.05755
0.802394 1.066019
0.803039 1.074548
0.803763 1.083137
0.806519 1.1102
0.810067 1.137861
0.814439 1.16607
0.819668 1.194775
0.825784 1.223924
0.832821 1.253466
0.840808 1.283349
0.849779 1.313522
0.859765 1.343932
0.870798 1.374529
0.879021 1.395667
0.887784 1.416855
0.897103 1.438055
0.906992 1.459232
0.917465 1.480348
0.928537 1.501366
0.940222 1.522251
0.952535 1.542965
0.965489 1.563471
0.979101 1.583733
0.993399 1.603723
1.008411 1.623402
1.024148 1.642715
1.040621 1.661607
1.05784 1.680023
1.075815 1.697907
1.094558 1.715206
1.114079 1.731865
1.134388 1.747827
1.155497 1.76304
1.175747 1.776382
1.196733 1.78899
1.218445 1.80082
1.240876 1.811829
1.264017 1.821972
1.28786 1.831206
1.312396 1.839488
1.337617 1.846773
1.363515 1.853019
1.390082 1.858181
1.417753 1.862247
1.446137 1.865088
1.47519 1.86669
1.504865 1.867038
1.535118 1.866117
1.565905 1.863913
1.597179 1.860412
1.628897 1.855599
1.661013 1.849459
1.693482 1.841979
1.725433 1.833359
1.757652 1.823419
1.790064 1.812198
1.822597 1.799735
1.855176 1.78607
1.887728 1.771242
1.920178 1.755289
1.952452 1.738252
1.984478 1.72017
2.016181 1.701081
2.043613 1.683559
2.070683 1.665309
2.097343 1.64638
2.123548 1.626821
2.149249 1.606679
2.1744 1.586002
2.198954 1.564838
2.222864 1.543235
2.246084 1.521242
2.268566 1.498905
2.289288 1.477293
2.309235 1.455444
2.328388 1.433393
2.346727 1.411181
2.364233 1.388845
2.380886 1.366422
2.396668 1.343952
2.411558 1.321471
2.425538 1.299017
2.438588 1.27663
2.450552 1.254577
2.461548 1.232657
2.471583 1.210892
2.480662 1.189302
2.48879 1.167908
2.495973 1.14673
2.502216 1.125789
2.507526 1.105106
2.511907 1.084702
2.515365 1.064596
2.516312 1.057962
2.517155 1.051366
2.517893 1.044808
2.518527 1.038289
2.519059 1.03181
2.51949 1.025369
2.519819 1.018968
2.520048 1.012606
2.520178 1.006283
2.52021 1.0
2.52021 1.0
2.520157 0.992032
2.519998 0.984128
2.519736 0.976289
2.51937 0.968513
2.518901 0.960802
2.518331 0.953154
2.51766 0.945571
2.516889 0.938051
2.516019 0.930595
2.515051 0.923202
2.510113 0.893712
2.503638 0.865297
2.495693 0.837931
2.486345 0.811589
2.475659 0.786245
2.463703 0.761873
2.450542 0.738447
2.436244 0.715942
2.420875 0.694331
2.4045 0.673589
2.387954 0.65452
2.370634 0.636217
2.352586 0.618655
2.333855 0.601809
2.314486 0.585655
2.294524 0.570167
2.274015 0.55532
2.253003 0.541089
2.231533 0.527449
2.209651 0.514375
2.190293 0.503429
2.170698 0.492888
2.150887 0.482738
2.130878 0.472967
2.110691 0.463563
2.090346 0.454512
2.069862 0.445802
2.04926 0.437421
2.028558 0.429356
2.007777 0.421593
1.986956 0.414128
1.966101 0.406945
1.945225 0.400037
1.924337 0.393394
1.903451 0.387007
1.882578 0.380868
1.861729 0.374967
1.840916 0.369296
1.820151 0.363846
1.799446 0.358608
1.777707 0.353309
1.756064 0.348229
1.734525 0.343362
1.713098 0.338701
1.691788 0.33424
1.670604 0.32997
1.649552 0.325886
1.628639 0.321981
1.607874 0.318247
1.587262 0.314679
1.565 0.310973
1.542941 0.30745
1.521087 0.304103
1.499443 0.300928
1.478012 0.297919
1.456798 0.29507
1.435805 0.292377
1.415035 0.289833
1.394494 0.287433
1.374184 0.285172
1.351657 0.282792
1.329432 0.280575
1.30751 0.278517
1.285891 0.276613
1.264574 0.27486
1.243562 0.273252
1.222853 0.271786
1.202449 0.270456
1.18235 0.269259
1.162557 0.26819
1.139847 0.267099
1.117552 0.266171
1.095669 0.265405
1.074194 0.264795
1.053123 0.264339
1.032455 0.264034
1.012184 0.263875
0.992309 0.26386
0.972825 0.263986
0.953729 0.264248
0.937047 0.264593
0.920665 0.265042
0.90458 0.265595
0.888787 0.266249
0.873285 0.267006
0.858069 0.267864
0.843136 0.268823
0.828482 0.269881
0.814105 0.27104
0.8 0.272297
0.8 1.0
