L P
0.1 0
0.1 1.4
0.18346 1.4
0.18436 1.399991
0.18526 1.399973
0.18616 1.399946
0.18706 1.39991
0.18796 1.399864
0.18886 1.39981
0.18976 1.399746
0.19066 1.399672
0.19156 1.39959
0.19246 1.399498
0.19336 1.399397
0.19426 1.399286
0.19516 1.399166
0.19606 1.399036
0.19696 1.398896
0.19786 1.398747
0.19876 1.398589
0.19966 1.39842
0.20056 1.398242
0.20146 1.398054
0.20236 1.397856
0.20326 1.397648
0.20416 1.39743
0.20506 1.397203
0.20596 1.396965
0.20686 1.396717
0.20776 1.396459
0.20866 1.396191
0.20956 1.395912
0.21046 1.395624
0.21136 1.395325
0.21226 1.395015
0.21316 1.394696
0.21406 1.394366
0.21496 1.394025
0.21586 1.393674
0.21676 1.393312
0.21766 1.39294
0.21856 1.392557
0.21946 1.392163
0.22036 1.391758
0.22126 1.391343
0.22216 1.390917
0.22306 1.39048
0.22396 1.390032
0.22486 1.389573
0.22576 1.389103
0.22666 1.388622
0.22756 1.38813
0.22846 1.387627
0.22936 1.387112
0.23026 1.386587
0.23116 1.38605
0.23206 1.385502
0.23296 1.384942
0.23386 1.384371
0.23476 1.383788
0.23566 1.383194
0.23656 1.382589
0.23746 1.381972
0.23836 1.381343
0.23926 1.380702
0.24016 1.38005
0.24106 1.379387
0.24196 1.378711
0.24286 1.378023
0.24376 1.377324
0.24466 1.376613
0.24556 1.37589
0.24646 1.375155
0.24736 1.374408
0.24826 1.373648
0.24916 1.372877
0.25006 1.372094
0.25096 1.371298
0.25186 1.370491
0.25276 1.369671
0.25366 1.368839
0.25456 1.367994
0.25546 1.367137
0.25636 1.366268
0.25726 1.365387
0.25816 1.364493
0.25906 1.363586
0.25996 1.362667
0.26086 1.361736
0.26176 1.360792
0.26266 1.359836
0.26356 1.358867
0.26446 1.357885
0.26536 1.356891
0.26626 1.355884
0.26716 1.354864
0.26806 1.353832
0.26896 1.352787
0.26986 1.351729
0.27076 1.350659
0.27166 1.349576
0.27256 1.34848
0.27346 1.347371
0.27436 1.346249
0.27526 1.345115
0.27616 1.343968
0.27706 1.342808
0.27796 1.341635
0.27886 1.340449
0.27976 1.33925
0.28066 1.338039
0.28156 1.336815
0.28246 1.335577
0.28336 1.334327
0.28426 1.333065
0.28516 1.331789
0.28606 1.3305
0.28696 1.329199
0.28786 1.327885
0.28876 1.326558
0.28966 1.325218
0.29056 1.323865
0.29146 1.3225
0.29236 1.321122
0.29326 1.319731
0.29416 1.318327
0.29506 1.316911
0.29596 1.315482
0.29686 1.314041
0.29776 1.312586
0.29866 1.31112
0.29956 1.309641
0.30046 1.308149
0.30136 1.306645
0.30226 1.305129
0.30316 1.3036
0.30406 1.302059
0.30496 1.300505
0.30586 1.29894
0.30676 1.297362
0.30766 1.295772
0.30856 1.29417
0.30946 1.292557
0.31036 1.290931
0.31126 1.289294
0.31216 1.287644
0.31306 1.285984
0.31396 1.284311
0.31486 1.282627
0.31576 1.280932
0.31666 1.279225
0.31756 1.277507
0.31846 1.275778
0.31936 1.274038
0.32026 1.272287
0.32116 1.270525
0.32206 1.268752
0.32296 1.266969
0.32386 1.265175
0.32476 1.263371
0.32566 1.261556
0.32656 1.259731
0.32746 1.257897
0.32836 1.256052
0.32926 1.254198
0.33016 1.252334
0.33106 1.25046
0.33196 1.248577
0.33286 1.246685
0.33376 1.244784
0.33466 1.242874
0.33556 1.240955
0.33646 1.239028
0.33736 1.237092
0.33826 1.235148
0.33916 1.233196
0.34006 1.231236
0.34096 1.229269
0.34186 1.227294
0.34276 1.225311
0.34366 1.223321
0.34456 1.221325
0.34546 1.219321
0.34636 1.217311
0.34726 1.215295
0.34816 1.213272
0.34906 1.211243
0.34996 1.209209
0.35086 1.207169
0.35176 1.205124
0.35266 1.203074
0.35356 1.201018
0.35446 1.198958
0.35536 1.196894
0.35626 1.194825
0.35716 1.192753
0.35806 1.190676
0.35896 1.188596
0.35986 1.186513
0.36076 1.184427
0.36166 1.182338
0.36256 1.180246
0.36346 1.178152
0.36436 1.176056
0.36526 1.173958
0.36616 1.171858
0.36706 1.169757
0.36796 1.167655
0.36886 1.165552
0.36976 1.163448
0.37066 1.161344
0.37156 1.15924
0.37246 1.157136
0.37336 1.155033
0.37426 1.15293
0.37516 1.150828
0.37606 1.148727
0.37696 1.146627
0.37786 1.144529
0.37876 1.142433
0.37966 1.140339
0.38056 1.138247
0.38146 1.136158
0.38236 1.134071
